Player,Nation,Pos,Age,MP,Starts,Min,90s,Goals,Ast,G-PK,PK,totalPK,YCard,RCard,Goals/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA/90,npxG/90,npxG+xA/90
Bruno Fernandes\Bruno-Fernandes,pt POR,MF,25,37,35,3099,34.4,18,12,9,9,10,6,0,0.52,0.35,0.87,0.26,0.61,15.4,7.8,11,18.8,0.45,0.32,0.77,0.23,0.55
Aaron Wan-Bissaka\Aaron-Wan-Bissaka,eng ENG,DF,22,34,34,3060,34,2,4,2,0,0,3,0,0.06,0.12,0.18,0.06,0.18,0.9,0.9,2.4,3.3,0.03,0.07,0.1,0.03,0.1
Harry Maguire\Harry-Maguire,eng ENG,DF,27,34,34,3047,33.9,2,1,2,0,0,11,0,0.06,0.03,0.09,0.06,0.09,2.1,2.1,0.3,2.4,0.06,0.01,0.07,0.06,0.07
Marcus Rashford\Marcus-Rashford,eng ENG,FW,22,37,33,2920,32.4,11,9,11,0,0,4,0,0.34,0.28,0.62,0.34,0.62,9.3,9.3,3.6,12.9,0.29,0.11,0.4,0.29,0.4
Luke Shaw\Luke-Shaw,eng ENG,DF,25,32,30,2654,29.5,1,5,1,0,0,8,0,0.03,0.17,0.2,0.03,0.2,0.7,0.7,5.2,5.9,0.02,0.18,0.2,0.02,0.2
Victor Lindelöf\Victor-Lindelof,se SWE,DF,26,29,29,2585,28.7,1,1,1,0,0,0,0,0.03,0.03,0.07,0.03,0.07,0.7,0.7,0.7,1.3,0.02,0.02,0.05,0.02,0.05
Fred\Fred,br BRA,MF,27,30,27,2390,26.6,1,0,1,0,0,5,0,0.04,0,0.04,0.04,0.04,1.9,1.9,2.5,4.5,0.07,0.1,0.17,0.07,0.17
David de Gea\David-de-Gea,es ESP,GK,29,26,26,2295,25.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scott McTominay\Scott-McTominay,sct SCO,MF,23,32,24,2129,23.7,4,1,4,0,0,3,0,0.17,0.04,0.21,0.17,0.21,2.1,2.1,0.9,3.1,0.09,0.04,0.13,0.09,0.13
Paul Pogba\Paul-Pogba,fr FRA,MFFW,27,26,21,1897,21.1,3,3,3,0,0,3,0,0.14,0.14,0.28,0.14,0.28,2.1,2.1,2.1,4.2,0.1,0.1,0.2,0.1,0.2
Mason Greenwood\Mason-Greenwood,eng ENG,FW,18,31,21,1822,20.2,7,2,7,0,0,2,0,0.35,0.1,0.44,0.35,0.44,7.4,7.4,1.8,9.2,0.37,0.09,0.45,0.37,0.45
Anthony Martial\Anthony-Martial,fr FRA,FW,24,22,17,1480,16.4,4,3,4,0,0,0,1,0.24,0.18,0.43,0.24,0.43,6.5,6.5,2,8.5,0.4,0.12,0.51,0.4,0.51
Edinson Cavani\Edinson-Cavani,uy URU,FW,33,26,13,1375,15.3,10,3,10,0,0,4,0,0.65,0.2,0.85,0.65,0.85,7.4,7.4,2.7,10.1,0.48,0.17,0.66,0.48,0.66
Dean Henderson\Dean-Henderson,eng ENG,GK,23,13,12,1125,12.5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nemanja Matić\Nemanja-Matic,rs SRB,MF,31,20,12,1106,12.3,0,0,0,0,0,2,0,0,0,0,0,0,0.3,0.3,0.4,0.7,0.02,0.03,0.06,0.02,0.06
Daniel James\Daniel-James,wls WAL,FW,22,15,11,910,10.1,3,1,3,0,0,3,0,0.3,0.1,0.4,0.3,0.4,2.3,2.3,1.2,3.5,0.23,0.12,0.34,0.23,0.34
Eric Bailly\Eric-Bailly,ci CIV,DF,26,12,10,916,10.2,0,0,0,0,0,3,0,0,0,0,0,0,0.1,0.1,0,0.1,0.01,0,0.01,0.01,0.01
Alex Telles\Alex-Telles,br BRA,DF,27,9,8,690,7.7,0,2,0,0,0,0,0,0,0.26,0.26,0,0.26,0.2,0.2,1.1,1.3,0.02,0.15,0.17,0.02,0.17
Juan Mata\Juan-Mata,es ESP,FWMF,32,9,6,509,5.7,1,2,0,1,1,0,0,0.18,0.35,0.53,0,0.35,1.1,0.3,0.8,1.2,0.19,0.15,0.34,0.06,0.21
Donny van de Beek\Donny-van-de-Beek,nl NED,MFFW,23,19,4,524,5.8,1,1,1,0,0,1,0,0.17,0.17,0.34,0.17,0.34,0.3,0.3,1,1.3,0.05,0.17,0.22,0.05,0.22
Axel Tuanzebe\Axel-Tuanzebe,eng ENG,DF,22,9,4,404,4.5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Williams\Brandon-Williams,eng ENG,DF,19,4,2,188,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.05,0.01,0.06,0.05,0.06
Amad Diallo\Amad-Diallo,ci CIV,FW,18,3,2,166,1.8,0,1,0,0,0,0,0,0,0.54,0.54,0,0.54,0,0,0.5,0.5,0.02,0.26,0.29,0.02,0.29
Anthony Elanga\Anthony-Elanga,se SWE,FW,18,2,2,155,1.7,1,0,1,0,0,0,0,0.58,0,0.58,0.58,0.58,0.3,0.3,0,0.3,0.16,0.02,0.18,0.16,0.18
Timothy Fosu-Mensah\Timothy-Fosu-Mensah,nl NED,DF,22,1,1,80,0.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.3,0.3,0.03,0.31,0.34,0.03,0.34
Shola Shoretire\Shola-Shoretire,eng ENG,FW,16,2,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odion Ighalo\Odion-Ighalo,ng NGA,FW,31,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hannibal Mejbri\Hannibal-Mejbri,tn TUN,MF,17,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
William Thomas Fish\William-Thomas-Fish,eng ENG,DF,17,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan Bishop\Nathan-Bishop,eng ENG,GK,20,0,0,,,,,,,,,,,,,,,,,,,,,,,
Lee Grant\Lee-Grant,eng ENG,GK,37,0,0,,,,,,,,,,,,,,,,,,,,,,,
Jesse Lingard\Jesse-Lingard,eng ENG,FWMF,27,0,0,,,,,,,,,,,,,,,,,,,,,,,
Squad Total,,,25.6,38,418,3420,38,70,51,60,10,11,64,1,1.84,1.34,3.18,1.58,2.92,60.2,51.9,40.5,92.4,1.58,1.07,2.65,1.37,2.43
Opponent Total,,,,38,418,3420,38,42,28,38,4,4,64,3,1.11,0.74,1.84,1,1.74,42.2,39.3,28.2,67.5,1.11,0.74,1.85,1.03,1.78